ID;Host ID;Host Response Rate;Host Listings Count;Host Total Listings Count;Neighbourhood Cleansed;Neighbourhood Group Cleansed;Zipcode;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Weekly Price;Monthly Price;Guests Included;Extra People;Minimum Nights;Maximum Nights;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;Geolocation;Features
13941241;31548549;100;3;3;imperial;arganzuela;28005;40.41226397778228;-3.720165853143806;apartment;private room;2;1;1;1;25;175;750;1;15;1;1125;7;94;10;9;10;10;10;10;flexible;1.0;40.41226397778228, -3.720165853143806;0
15823039;19814690;100;1;1;imperial;arganzuela;28005;40.41055188460411;-3.719656094328847;apartment;private room;2;1;1;1;43;301;1290;1;0;2;1125;1;100;10;10;10;10;10;10;flexible;0.73;40.41055188460411, -3.719656094328847;0
3340341;10821723;100;2;2;imperial;arganzuela;28005;40.40181997898699;-3.720882511180665;apartment;private room;2;2;1;1;25;175;750;1;0;2;30;1;100;10;10;10;10;10;10;flexible;0.05;40.40181997898699, -3.720882511180665;0
9728706;30772680;100;6;6;imperial;arganzuela;28005;40.41115819866842;-3.72033707542444;apartment;private room;2;1;1;1;30;210;900;1;6;2;1125;10;90;9;10;10;10;9;10;flexible;0.61;40.41115819866842, -3.72033707542444;0
11998974;61988003;0;2;2;imperial;arganzuela;28005;40.41214140055629;-3.719378698222176;apartment;private room;2;1;1;1;55;385;1650;1;0;1;1125;1;60;6;6;8;10;8;6;moderate;0.19;40.412141400556294, -3.7193786982221755;0
18092171;123220020;100;4;4;imperial;arganzuela;28005;40.41344679578759;-3.718438381524418;apartment;entire home/apt;3;1;2;2;54;378;1620;1;10;2;1125;0;94;10;10;10;10;10;9;strict;1.0;40.41344679578759, -3.718438381524418;0
4425335;22513755;100;7;7;imperial;arganzuela;28005;40.41252929580031;-3.718217339854712;apartment;entire home/apt;4;1;1;1;58;406;1740;2;10;2;1125;7;89;9;10;9;9;9;9;moderate;0.3;40.41252929580031, -3.718217339854712;0
17563895;20005350;100;1;1;acacias;arganzuela;28005;40.40148954039981;-3.701952324661568;apartment;entire home/apt;4;1;2;3;82;574;2460;1;0;2;1125;0;94;10;10;10;10;10;9;strict;1.0;40.40148954039981, -3.7019523246615678;0
9603908;19380666;100;1;1;acacias;arganzuela;28005;40.40161717349277;-3.700172019450258;apartment;private room;1;1;1;1;18;126;540;1;0;2;1125;7;94;9;10;10;10;9;10;flexible;0.43;40.401617173492774, -3.700172019450258;0
6025837;31276361;100;1;1;acacias;arganzuela;28005;40.40376199711956;-3.712269645916451;apartment;entire home/apt;2;1;1;1;120;840;3600;1;0;2;1125;52;98;10;10;10;10;9;10;moderate;2.21;40.40376199711956, -3.712269645916451;1
7740702;18253674;9;3;3;acacias;arganzuela;28005;40.40319737378948;-3.708343970447112;house;private room;1;1;1;1;15;105;450;1;10;7;1125;3;80;7;9;10;10;10;7;flexible;0.16;40.40319737378948, -3.7083439704471117;0
4265459;3591751;100;7;7;acacias;arganzuela;28005;40.40393418749607;-3.703543782096214;bed & breakfast;shared room;2;1;1;2;33;231;990;1;0;1;1125;31;94;9;9;10;10;10;10;flexible;1.03;40.40393418749607, -3.703543782096214;0
13005354;18672482;100;1;1;universidad;centro;28004;40.4244795964353;-3.7031627379102696;apartment;private room;2;1;1;1;40;280;1200;1;15;2;1125;17;99;10;10;10;10;10;10;moderate;2.55;40.4244795964353, -3.7031627379102696;0
6474086;33821945;100;1;1;universidad;centro;28004;40.42754072762443;-3.710416437355229;apartment;entire home/apt;2;1;0;1;45;315;1350;2;20;3;1125;38;90;9;9;10;10;10;9;moderate;1.97;40.42754072762443, -3.7104164373552293;0
15705280;12230900;100;2;2;universidad;centro;28004;40.42390379810082;-3.704506428427367;apartment;entire home/apt;2;1;1;1;50;350;1500;1;10;1;1125;19;92;10;10;10;10;10;9;moderate;3.65;40.423903798100824, -3.7045064284273668;0
13777623;36331911;70;1;1;universidad;centro;28004;40.42552470001717;-3.710939807650385;apartment;private room;2;2;1;1;24;168;720;1;0;1;1125;19;89;9;8;10;10;10;9;flexible;2.06;40.42552470001717, -3.710939807650385;0
6439753;1268846;98;3;3;universidad;centro;28004;40.42295042430716;-3.700812063593953;apartment;entire home/apt;2;1;0;1;50;350;1500;1;0;1;1125;85;84;9;8;9;9;10;9;flexible;3.8;40.42295042430716, -3.700812063593953;0
16023495;104222561;100;1;1;universidad;centro;28004;40.42411613382982;-3.7028092896909;apartment;entire home/apt;4;1;1;1;80;560;2400;2;10;2;1125;12;92;10;10;10;10;10;9;flexible;2.71;40.42411613382982, -3.7028092896908995;0
18070808;28038703;100;40;40;universidad;centro;28004;40.42100309387623;-3.7055940748929608;apartment;entire home/apt;1;1;1;1;145;1015;4350;1;0;3;1125;0;94;10;10;10;10;10;9;strict;1.0;40.42100309387623, -3.7055940748929608;0
10266983;23178246;100;2;2;universidad;centro;28004;40.42433825185763;-3.701384949629371;apartment;entire home/apt;5;1;2;2;123;861;3690;4;30;2;1125;17;89;10;9;9;9;10;9;strict;1.26;40.42433825185763, -3.701384949629371;0
16375425;10019631;100;2;2;universidad;centro;28004;40.42115094499589;-3.7065750557716894;apartment;shared room;2;1;1;1;25;175;750;1;13;1;1125;8;95;9;9;10;10;10;9;flexible;2.42;40.421150944995894, -3.7065750557716894;0
